ingredient_name,quantity,unit
Alfredo Sauce,70000.0,ml
Anchovies,55000.0,g
Artichokes,35000.0,g
Arugula,85000.0,g
Asiago Cheese,200000.0,g
Bacon,175000.0,g
Barbecue Sauce,75000.0,ml
Barbecued Chicken,75000.0,g
Beef Chuck Roast,125000.0,g
Blue Cheese,160000.0,g
Brie Carre Cheese,125000.0,g
Calabrese Salami,47500.0,g
Capocollo,22500.0,g
Caramelized Onions,75000.0,g
Chicken,75000.0,g
Chipotle Sauce,75000.0,ml
Chorizo Sausage,27000.0,g
Cilantro,25000.0,g
Coarse Sicilian Salami,225000.0,g
Corn,60000.0,g
Eggplant,27500.0,g
Feta Cheese,178500.0,g
Fontina Cheese,112500.0,kg
Friggitello Peppers,20000.0,g
Garlic,28000.0,g
Genoa Salami,41500.0,g
Goat Cheese,200000.0,g
Gorgonzola Piccante Cheese,125000.0,g
Gouda Cheese,152000.0,g
Green Olives,115000.0,g
Green Peppers,24920.5,ml
Italian Sausage,160000.0,g
Jalapeno Peppers,90000.0,g
Kalamata Olives,20500.0,g
Luganega Sausage,28000.0,g
Mozzarella Cheese,225000.0,g
Mushrooms,64500.0,g
Nduja Salami,22250.0,g
Onions,95500.0,g
Oregano,20000.0,g
Pancetta,35500.0,g
Parmigiano Reggiano Cheese,160000.0,g
Pears,76500.0,g
Peperoncini verdi,12500.0,g
Pepperoni,44500.0,g
Pesto Sauce,32500.0,ml
Pineapple,18000.0,g
Plum Tomatoes,31500.0,g
Prosciutto,75000.0,g
Prosciutto di San Daniele,21500.0,g
Provolone Cheese,133500.0,g
Red Onions,21500.0,g
Red Peppers,18000.0,g
Ricotta Cheese,82500.0,g
Romano Cheese,140000.0,g
Sliced Ham,35000.0,g
Smoked Gouda Cheese,70500.0,g
Soppressata Salami,28000.0,g
Spinach,12500.0,g
Sun-dried Tomatoes,164500.0,g
Thai Sweet Chilli Sauce,24000.0,ml
Thyme,17500.0,g
Tomatoes,250000.0,g
Zucchini,34000.0,g
