date;dish_name;quantity
01/01/2015;The Barbecue Chicken Pizza;11
01/01/2015;The Big Meat Pizza;5
01/01/2015;The Brie Carre Pizza;0
01/01/2015;The Calabrese Pizza;1
01/01/2015;The California Chicken Pizza;4
01/01/2015;The Chicken Alfredo Pizza;2
01/01/2015;The Chicken Pesto Pizza;4
01/01/2015;The Classic Deluxe Pizza;10
01/01/2015;The Five Cheese Pizza;7
01/01/2015;The Four Cheese Pizza;6
01/01/2015;The Greek Pizza;5
01/01/2015;The Green Garden Pizza;7
01/01/2015;The Hawaiian Pizza;4
01/01/2015;The Italian Capocollo Pizza;8
01/01/2015;The Italian Supreme Pizza;15
01/01/2015;The Italian Vegetables Pizza;2
01/01/2015;The Mediterranean Pizza;3
01/01/2015;The Mexicana Pizza;9
01/01/2015;The Napolitana Pizza;2
01/01/2015;The Pepper Salami Pizza;4
01/01/2015;The Pepperoni Pizza;6
01/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;6
01/01/2015;The Prosciutto and Arugula Pizza;4
01/01/2015;The Sicilian Pizza;4
01/01/2015;The Soppressata Pizza;1
01/01/2015;The Southwest Chicken Pizza;7
01/01/2015;The Spicy Italian Pizza;5
01/01/2015;The Spinach Pesto Pizza;2
01/01/2015;The Spinach Supreme Pizza;5
01/01/2015;The Spinach and Feta Pizza;2
01/01/2015;The Thai Chicken Pizza;8
01/01/2015;The Vegetables + Vegetables Pizza;3
02/01/2015;The Barbecue Chicken Pizza;9
02/01/2015;The Big Meat Pizza;8
02/01/2015;The Brie Carre Pizza;0
02/01/2015;The Calabrese Pizza;0
02/01/2015;The California Chicken Pizza;5
02/01/2015;The Chicken Alfredo Pizza;1
02/01/2015;The Chicken Pesto Pizza;2
02/01/2015;The Classic Deluxe Pizza;6
02/01/2015;The Five Cheese Pizza;6
02/01/2015;The Four Cheese Pizza;3
02/01/2015;The Greek Pizza;7
02/01/2015;The Green Garden Pizza;1
02/01/2015;The Hawaiian Pizza;10
02/01/2015;The Italian Capocollo Pizza;7
02/01/2015;The Italian Supreme Pizza;8
02/01/2015;The Italian Vegetables Pizza;4
02/01/2015;The Mediterranean Pizza;1
02/01/2015;The Mexicana Pizza;5
02/01/2015;The Napolitana Pizza;6
02/01/2015;The Pepper Salami Pizza;4
02/01/2015;The Pepperoni Pizza;12
02/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;1
02/01/2015;The Prosciutto and Arugula Pizza;4
02/01/2015;The Sicilian Pizza;6
02/01/2015;The Soppressata Pizza;4
02/01/2015;The Southwest Chicken Pizza;6
02/01/2015;The Spicy Italian Pizza;11
02/01/2015;The Spinach Pesto Pizza;2
02/01/2015;The Spinach Supreme Pizza;8
02/01/2015;The Spinach and Feta Pizza;4
02/01/2015;The Thai Chicken Pizza;9
02/01/2015;The Vegetables + Vegetables Pizza;5
03/01/2015;The Barbecue Chicken Pizza;7
03/01/2015;The Big Meat Pizza;8
03/01/2015;The Brie Carre Pizza;1
03/01/2015;The Calabrese Pizza;1
03/01/2015;The California Chicken Pizza;12
03/01/2015;The Chicken Alfredo Pizza;5
03/01/2015;The Chicken Pesto Pizza;3
03/01/2015;The Classic Deluxe Pizza;5
03/01/2015;The Five Cheese Pizza;4
03/01/2015;The Four Cheese Pizza;7
03/01/2015;The Greek Pizza;7
03/01/2015;The Green Garden Pizza;1
03/01/2015;The Hawaiian Pizza;8
03/01/2015;The Italian Capocollo Pizza;3
03/01/2015;The Italian Supreme Pizza;4
03/01/2015;The Italian Vegetables Pizza;3
03/01/2015;The Mediterranean Pizza;3
03/01/2015;The Mexicana Pizza;4
03/01/2015;The Napolitana Pizza;6
03/01/2015;The Pepper Salami Pizza;5
03/01/2015;The Pepperoni Pizza;8
03/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;2
03/01/2015;The Prosciutto and Arugula Pizza;7
03/01/2015;The Sicilian Pizza;7
03/01/2015;The Soppressata Pizza;1
03/01/2015;The Southwest Chicken Pizza;5
03/01/2015;The Spicy Italian Pizza;4
03/01/2015;The Spinach Pesto Pizza;6
03/01/2015;The Spinach Supreme Pizza;2
03/01/2015;The Spinach and Feta Pizza;2
03/01/2015;The Thai Chicken Pizza;10
03/01/2015;The Vegetables + Vegetables Pizza;7
04/01/2015;The Barbecue Chicken Pizza;11
04/01/2015;The Big Meat Pizza;0
04/01/2015;The Brie Carre Pizza;2
04/01/2015;The Calabrese Pizza;2
04/01/2015;The California Chicken Pizza;5
04/01/2015;The Chicken Alfredo Pizza;5
04/01/2015;The Chicken Pesto Pizza;1
04/01/2015;The Classic Deluxe Pizza;4
04/01/2015;The Five Cheese Pizza;4
04/01/2015;The Four Cheese Pizza;4
04/01/2015;The Greek Pizza;4
04/01/2015;The Green Garden Pizza;3
04/01/2015;The Hawaiian Pizza;4
04/01/2015;The Italian Capocollo Pizza;3
04/01/2015;The Italian Supreme Pizza;5
04/01/2015;The Italian Vegetables Pizza;3
04/01/2015;The Mediterranean Pizza;0
04/01/2015;The Mexicana Pizza;2
04/01/2015;The Napolitana Pizza;5
04/01/2015;The Pepper Salami Pizza;1
04/01/2015;The Pepperoni Pizza;4
04/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;2
04/01/2015;The Prosciutto and Arugula Pizza;5
04/01/2015;The Sicilian Pizza;3
04/01/2015;The Soppressata Pizza;0
04/01/2015;The Southwest Chicken Pizza;1
04/01/2015;The Spicy Italian Pizza;6
04/01/2015;The Spinach Pesto Pizza;3
04/01/2015;The Spinach Supreme Pizza;4
04/01/2015;The Spinach and Feta Pizza;4
04/01/2015;The Thai Chicken Pizza;5
04/01/2015;The Vegetables + Vegetables Pizza;1
05/01/2015;The Barbecue Chicken Pizza;2
05/01/2015;The Big Meat Pizza;4
05/01/2015;The Brie Carre Pizza;2
05/01/2015;The Calabrese Pizza;0
05/01/2015;The California Chicken Pizza;8
05/01/2015;The Chicken Alfredo Pizza;9
05/01/2015;The Chicken Pesto Pizza;2
05/01/2015;The Classic Deluxe Pizza;9
05/01/2015;The Five Cheese Pizza;6
05/01/2015;The Four Cheese Pizza;5
05/01/2015;The Greek Pizza;2
05/01/2015;The Green Garden Pizza;2
05/01/2015;The Hawaiian Pizza;5
05/01/2015;The Italian Capocollo Pizza;3
05/01/2015;The Italian Supreme Pizza;6
05/01/2015;The Italian Vegetables Pizza;3
05/01/2015;The Mediterranean Pizza;1
05/01/2015;The Mexicana Pizza;3
05/01/2015;The Napolitana Pizza;5
05/01/2015;The Pepper Salami Pizza;4
05/01/2015;The Pepperoni Pizza;6
05/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;3
05/01/2015;The Prosciutto and Arugula Pizza;3
05/01/2015;The Sicilian Pizza;6
05/01/2015;The Soppressata Pizza;2
05/01/2015;The Southwest Chicken Pizza;4
05/01/2015;The Spicy Italian Pizza;3
05/01/2015;The Spinach Pesto Pizza;4
05/01/2015;The Spinach Supreme Pizza;2
05/01/2015;The Spinach and Feta Pizza;3
05/01/2015;The Thai Chicken Pizza;6
05/01/2015;The Vegetables + Vegetables Pizza;2
06/01/2015;The Barbecue Chicken Pizza;4
06/01/2015;The Big Meat Pizza;6
06/01/2015;The Brie Carre Pizza;1
06/01/2015;The Calabrese Pizza;2
06/01/2015;The California Chicken Pizza;6
06/01/2015;The Chicken Alfredo Pizza;5
06/01/2015;The Chicken Pesto Pizza;2
06/01/2015;The Classic Deluxe Pizza;11
06/01/2015;The Five Cheese Pizza;5
06/01/2015;The Four Cheese Pizza;6
06/01/2015;The Greek Pizza;3
06/01/2015;The Green Garden Pizza;5
06/01/2015;The Hawaiian Pizza;11
06/01/2015;The Italian Capocollo Pizza;6
06/01/2015;The Italian Supreme Pizza;6
06/01/2015;The Italian Vegetables Pizza;0
06/01/2015;The Mediterranean Pizza;4
06/01/2015;The Mexicana Pizza;4
06/01/2015;The Napolitana Pizza;1
06/01/2015;The Pepper Salami Pizza;4
06/01/2015;The Pepperoni Pizza;8
06/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;2
06/01/2015;The Prosciutto and Arugula Pizza;4
06/01/2015;The Sicilian Pizza;5
06/01/2015;The Soppressata Pizza;1
06/01/2015;The Southwest Chicken Pizza;4
06/01/2015;The Spicy Italian Pizza;6
06/01/2015;The Spinach Pesto Pizza;1
06/01/2015;The Spinach Supreme Pizza;2
06/01/2015;The Spinach and Feta Pizza;8
06/01/2015;The Thai Chicken Pizza;10
06/01/2015;The Vegetables + Vegetables Pizza;4
07/01/2015;The Barbecue Chicken Pizza;6
07/01/2015;The Big Meat Pizza;6
07/01/2015;The Brie Carre Pizza;2
07/01/2015;The Calabrese Pizza;4
07/01/2015;The California Chicken Pizza;5
07/01/2015;The Chicken Alfredo Pizza;3
07/01/2015;The Chicken Pesto Pizza;6
07/01/2015;The Classic Deluxe Pizza;6
07/01/2015;The Five Cheese Pizza;5
07/01/2015;The Four Cheese Pizza;3
07/01/2015;The Greek Pizza;6
07/01/2015;The Green Garden Pizza;2
07/01/2015;The Hawaiian Pizza;7
07/01/2015;The Italian Capocollo Pizza;2
07/01/2015;The Italian Supreme Pizza;5
07/01/2015;The Italian Vegetables Pizza;4
07/01/2015;The Mediterranean Pizza;3
07/01/2015;The Mexicana Pizza;1
07/01/2015;The Napolitana Pizza;1
07/01/2015;The Pepper Salami Pizza;2
07/01/2015;The Pepperoni Pizza;14
07/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;3
07/01/2015;The Prosciutto and Arugula Pizza;2
07/01/2015;The Sicilian Pizza;8
07/01/2015;The Soppressata Pizza;4
07/01/2015;The Southwest Chicken Pizza;2
07/01/2015;The Spicy Italian Pizza;5
07/01/2015;The Spinach Pesto Pizza;2
07/01/2015;The Spinach Supreme Pizza;1
07/01/2015;The Spinach and Feta Pizza;5
07/01/2015;The Thai Chicken Pizza;6
