ingredient_name;quantity;unit
Anchovies;25;g
Artichokes;36;g
Arugula;35;g
Asiago Cheese;86;g
Bacon;60;g
Barbecue Sauce;18;ml
Barbecued Chicken;82;g
Beef Chuck Roast;54;g
Blue Cheese;107;g
Brie Carre Cheese;90;g
Calabrese Salami;84;g
Capocollo;58;g
Chicken;61;g
Chipotle Sauce;15;ml
Chorizo Sausage;96;g
Cilantro;2;g
Coarse Sicilian Salami;40;g
Corn;51;g
Eggplant;36;g
Feta Cheese;85;g
Fontina Cheese;108;g
Friggitello Peppers;47;g
Garlic;7;g
Genoa Salami;71;g
Goat Cheese;72;g
Gorgonzola Piccante Cheese;85;g
Gouda Cheese;72;g
Green Olives;41;g
Green Peppers;36;g
Italian Sausage;45;g
Jalapeno Peppers;34;g
Kalamata Olives;30;g
Luganega Sausage;80;g
Mozzarella Cheese;109;g
Mushrooms;42;g
Nduja Salami;71;g
Onions;27;g
Oregano;6;g
Pancetta;84;g
Parmigiano Reggiano Cheese;72;g
Pears;36;g
Peperoncini verdi;5;g
Pepperoni;64;g
Pesto Sauce;35;ml
Pineapple;33;g
Plum Tomatoes;26;g
Prosciutto;70;g
Prosciutto di San Daniele;22;g
Provolone Cheese;116;g
Red Onions;31;g
Red Peppers;47;g
Ricotta Cheese;72;g
Romano Cheese;22;g
Sliced Ham;35;g
Smoked Gouda Cheese;85;g
Soppressata Salami;96;g
Spinach;33;g
Sun-dried Tomatoes;13;g
Thai Sweet Chilli Sauce;15;ml
Thyme;5;g
Tomatoes;56;g
Zucchini;49;g
